part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
pTac,Promoter,,,,,0.50;0.50;0.50,,,,,
pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
pBAD,Promoter,,,,,0.00;1.00;0.00,,,,,
pTra*,Promoter,,,,,0.00;1.00;0.00,,,,,
AraC,CDS,,,,,0.00;1.00;0.00,,,,,
TraR(W),CDS,,,,,0.00;1.00;0.00,,,,,
pAmeR,Promoter,,,,,1.00;0.00;0.00,,,,,
pHlyllR,Promoter,,,,,1.00;0.00;0.00,,,,,
pPhIF,Promoter,,,,,1.00;0.00;0.00,,,,,
pAmtR,Promoter,,,,,1.00;0.00;0.00,,,,,
pIcaRA,Promoter,,,,,1.00;0.00;0.00,,,,,
pPsrA,Promoter,,,,,1.00;0.00;0.00,,,,,
pBetI,Promoter,,,,,1.00;0.00;0.00,,,,,
pLitR,Promoter,,,,,1.00;0.00;0.00,,,,,
pQacR,Promoter,,,,,1.00;0.00;0.00,,,,,
pBM3R1,Promoter,,,,,1.00;0.00;0.00,,,,,
pLmrA,Promoter,,,,,1.00;0.00;0.00,,,,,
pSrpR,Promoter,,,,,1.00;0.00;0.00,,,,,
AmeR,CDS,,,,,1.00;0.00;0.00,,,,,
HlyllR,CDS,,,,,1.00;0.00;0.00,,,,,
PhIF,CDS,,,,,1.00;0.00;0.00,,,,,
AmtR,CDS,,,,,1.00;0.00;0.00,,,,,
IcaRA,CDS,,,,,1.00;0.00;0.00,,,,,
PsrA,CDS,,,,,1.00;0.00;0.00,,,,,
BetI,CDS,,,,,1.00;0.00;0.00,,,,,
LitR,CDS,,,,,1.00;0.00;0.00,,,,,
QacR,CDS,,,,,1.00;0.00;0.00,,,,,
BM3R1,CDS,,,,,1.00;0.00;0.00,,,,,
LmrA,CDS,,,,,1.00;0.00;0.00,,,,,
SrpR,CDS,,,,,1.00;0.00;0.00,,,,,
tfSp,Spacer,,,,,1;1;1,,,,,
T10,Terminator,,,,,0.00;0.00;0.00,,,,,
