part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
pTac,Promoter,,,,,0.50;0.50;0.50,,,,,
pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
pBAD,Promoter-RB,,,,,0.10;0.60;0.10,,,,,
pTra*,Promoter,,,,,0.00;1.00;0.00,,,,,
AraC,CDS,18,,,,0.10;0.60;0.10,///////,0,5,,
TraR(W),CDS,18,,,,0.00;1.00;0.00,///////,0,5,,
pAmeR,Promoter,,,,,1.00;0.00;0.00,,,,,
pHlyllR,Promoter,,,,,1.00;0.00;0.00,,,,,
pPhIF,Promoter-RB,,,,,0.70;0.20;0.20,,,,,
pAmtR,Promoter,,,,,1.00;0.00;0.00,,,,,
pIcaRA,Promoter,,,,,1.00;0.00;0.00,,,,,
pPsrA,Promoter-RB,,,,,0.70;0.20;0.20,,,,,
pBetI,Promoter,,,,,1.00;0.00;0.00,,,,,
pLitR,Promoter,,,,,1.00;0.00;0.00,,,,,
pQacR,Promoter,,,,,1.00;0.00;0.00,,,,,
pBM3R1,Promoter-RB,,,,,0.70;0.20;0.20,,,,,
pLmrA,Promoter,,,,,1.00;0.00;0.00,,,,,
pSrpR,Promoter,,,,,1.00;0.00;0.00,,,,,
AmeR,CDS,18,,,,1.00;0.00;0.00,,0,5,,
HlyllR,CDS,18,,,,1.00;0.00;0.00,,0,5,,
PhIF,CDS,18,,,,0.70;0.20;0.20,,0,5,,
AmtR,CDS,18,,,,1.00;0.00;0.00,,0,5,,
IcaRA,CDS,18,,,,1.00;0.00;0.00,,0,5,,
PsrA,CDS,18,,,,0.70;0.20;0.20,,0,5,,
BetI,CDS,18,,,,1.00;0.00;0.00,,0,5,,
LitR,CDS,18,,,,1.00;0.00;0.00,,0,5,,
QacR,CDS,18,,,,1.00;0.00;0.00,,0,5,,
BM3R1,CDS,18,,,,0.70;0.20;0.20,,0,5,,
LmrA,CDS,18,,,,1.00;0.00;0.00,,0,5,,
SrpR,CDS,18,,,,1.00;0.00;0.00,,0,5,,
tfSp,Spacer,,,1,1,1;1;1,,,,,
T10,Terminator,,,,,0.00;0.00;0.00,,,,,
